集团研发-VPN服务单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用,
50,安全服务,VPN-10用户,1,套/日,22.77,,2025-09-29 00:00:00,2026-04-14 00:00:00,2025-12-28 00:00:00,2026-04-01 00:00:00,2026-04-13 00:00:00,13,296.01,13,296.01,本期已关闭，下期不再有此项费用
合计数量,,,1,合计金额,,,,,,,,,296.01,,296.01,
,,,,,,,,,,,,,,,,
集团研发-操作系统单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,内部IP,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.2,2025-09-29 00:00:00,,2025-12-28 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.4,2025-09-29 00:00:00,,2025-12-28 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.5,2025-09-29 00:00:00,,2025-12-28 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.3,2025-09-29 00:00:00,,2025-12-28 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
合计数量,,,1,合计金额,,,,,,,,,663.6,,663.6,
,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,合计费用,,,,,,,,,,,
50,安全服务,VPN-10用户,1,套/日,296.01,,,,,,,,,,,
26,操作系统服务,银河麒麟高级服务器操作系统,4,套/日,663.6,,,,,,,,,,,
总计金额,,,,,959.61,,,,,,,,,,,
